Subject,nAUC_15,nAUC_30,nAUC_45,nAUC_all,LRS_15,LRS_30,LRS_45,LRS_all,Chirp_Complexity
MR-0298-t1,0.2755266844730127,0.296755098657152,0.28089890436085135,0.29947246877864275,0.013322083107050492,-0.003382228027040045,-0.0004352232904603954,0.0005783155786539082,0.29947246877864275
MR-0298-t2,0.17811924676704502,0.15187307546472384,0.13982058598349895,0.16391381863588086,0.004891533117084085,-0.0024649446783507325,-3.788233510877623e-05,-0.0010160250443466924,0.16391381863588086
MR-0299-t1,0.2965722295153375,0.3015472855767067,0.23095628187612657,0.29114674166258414,0.0142803318248916,-0.0019940641613411373,-0.0068262306157774455,-0.0016870482922060745,0.29114674166258414
MR-0300-t1,0.3526160009404596,0.3037958506447341,0.2770475513672668,0.32687649962017695,0.010976432727189612,-0.006148101674620706,-0.001134923748904773,-0.0021373556852514915,0.32687649962017695
MR-0300-t2,0.4418085338403962,0.4486803662579236,0.3890616826243062,0.4489130500002191,0.022085269371229316,-0.005528695115465895,-0.0061127774504530115,-0.001051581266464365,0.4489130500002191
MR-0301-t2,0.4131430534940822,0.4016901160582049,0.2606779021685755,0.3785071039785528,0.028517477592815595,-0.01592720449366415,-0.008902780015377884,-0.004500317597415233,0.3785071039785528
MR-0302-t1,0.2504498651372697,0.22492513131082348,0.22995093342238865,0.24672804074165963,0.006917467889184732,-0.004401693944188763,0.0012729478049272789,-0.0004405485051635626,0.24672804074165963
MR-0302-t2,0.39198618787191264,0.3093533535686422,0.2578636320610684,0.33466597583509283,0.006509140254313608,-0.0074011617049761155,-0.00010410518785810285,-0.004046359095552979,0.33466597583509283
MR-0303,0.2207821789033125,0.24654939807280385,0.287881590620214,0.264820809079056,0.01041829104759465,-0.0002678263101886547,0.000775426773584549,0.002502428466583333,0.264820809079056
MR-0304-t2,0.28232064680025953,0.323978839976373,0.3343499728689138,0.32993724913258166,0.0148733456506457,-0.004168483893998862,0.00047764960456395073,0.0020809420312533915,0.32993724913258166
MR-0305,0.24481218844389396,0.2584993680084383,0.27587513942451686,0.2728711986338377,0.009088004876752633,-0.002197478438259468,-9.379002840066787e-05,0.0012376793830030618,0.2728711986338377
MR-0306,0.2802307958043185,0.291446505667593,0.2828363126016757,0.3001542753073686,0.01584846351467687,-0.00231482882627022,-0.004185626212492656,0.0004625680228342922,0.3001542753073686
MR-0307-t2,0.21644819833612558,0.2183031760781076,0.18817704221881248,0.21755355026252277,0.006394090981907731,-0.004584707841290123,-0.0010196774149100613,-0.0007653514766075955,0.21755355026252277
MR-0309,0.19813682956391893,0.2305373996655705,0.2560269488142363,0.24033581773816245,0.012586608418968066,0.0003151798935517595,0.0012236818936004444,0.002389883420160091,0.24033581773816245
MR-0310,0.19969757314039055,0.250469145498279,0.2853644685405707,0.2583893243767855,0.01334067475638639,0.0007664479800357669,0.0005353685622068608,0.003251527662509058,0.2583893243767855
MR-0311,0.20564827944527553,0.24033602546824195,0.25609672603027583,0.24633633584131226,0.010781200914889467,-0.0003459180905727896,6.555328378389711e-06,0.0020091129745877572,0.24633633584131226
MR-0312,0.24674113062752837,0.24095515723305894,0.24592632877432338,0.25700808615347864,0.009973896108188269,-0.003874657008537354,0.0008407057114167739,0.0002555342504815826,0.25700808615347864
MR-0313,0.2330099216678821,0.2020050123291618,0.17233225914140912,0.21232283889763912,0.005871559960252045,-0.006133971019740251,-0.00038644892481377413,-0.0018416131761093957,0.21232283889763912
MR-0447,0.3531876142232966,0.2768734937042045,0.2763663706943244,0.31680997471927574,0.008262458760301858,-0.004151831219027048,0.002462523451326219,-0.0020167317936408387,0.31680997471927574
MR-0474,0.24887594916025182,0.2674941279948312,0.2730354238993017,0.2757027129277128,0.007726249139333478,4.981842145498905e-05,0.0013953803517908938,0.001246350062340986,0.2757027129277128
MR-0491,0.3141451064716016,0.27653405628518185,0.2705956990075452,0.30107927865656486,0.007575260502122364,-0.004732994277215628,0.0022769576238617067,-0.0010540371604249516,0.30107927865656486
